0.9863974814814814	fpr	tpr
0	0.0	0.0
1	0.0	0.0006666666666666666
2	0.0	0.6026666666666667
3	7.407407407407407e-05	0.6026666666666667
4	7.407407407407407e-05	0.6066666666666667
5	0.00014814814814814815	0.6066666666666667
6	0.00014814814814814815	0.6113333333333333
7	0.00022222222222222223	0.6113333333333333
8	0.00022222222222222223	0.6126666666666667
9	0.0002962962962962963	0.6126666666666667
10	0.0002962962962962963	0.6133333333333333
11	0.00037037037037037035	0.6133333333333333
12	0.00037037037037037035	0.6153333333333333
13	0.00044444444444444447	0.6153333333333333
14	0.00044444444444444447	0.6173333333333333
15	0.0005185185185185185	0.6173333333333333
16	0.0005185185185185185	0.6186666666666667
17	0.0006666666666666666	0.6186666666666667
18	0.0006666666666666666	0.6253333333333333
19	0.0007407407407407407	0.6253333333333333
20	0.0007407407407407407	0.626
21	0.000962962962962963	0.626
22	0.000962962962962963	0.6266666666666667
23	0.001037037037037037	0.6266666666666667
24	0.001037037037037037	0.6273333333333333
25	0.0011111111111111111	0.6273333333333333
26	0.0011111111111111111	0.6293333333333333
27	0.0011851851851851852	0.6293333333333333
28	0.0011851851851851852	0.6306666666666667
29	0.0012592592592592592	0.6306666666666667
30	0.0012592592592592592	0.6313333333333333
31	0.0013333333333333333	0.6313333333333333
32	0.0013333333333333333	0.632
33	0.0014074074074074073	0.632
34	0.0014074074074074073	0.634
35	0.0014814814814814814	0.634
36	0.0014814814814814814	0.6346666666666667
37	0.0017037037037037038	0.6346666666666667
38	0.0017037037037037038	0.6353333333333333
39	0.0017777777777777779	0.6353333333333333
40	0.0017777777777777779	0.6386666666666667
41	0.001851851851851852	0.6386666666666667
42	0.001851851851851852	0.6393333333333333
43	0.002	0.6393333333333333
44	0.002	0.6406666666666667
45	0.002074074074074074	0.6406666666666667
46	0.002074074074074074	0.6413333333333333
47	0.002148148148148148	0.6413333333333333
48	0.002148148148148148	0.644
49	0.0023703703703703703	0.644
50	0.0023703703703703703	0.6446666666666667
51	0.0025185185185185185	0.6446666666666667
52	0.0025185185185185185	0.646
53	0.003259259259259259	0.646
54	0.003259259259259259	0.648
55	0.0033333333333333335	0.648
56	0.0033333333333333335	0.6486666666666666
57	0.0034074074074074076	0.6486666666666666
58	0.0034074074074074076	0.6493333333333333
59	0.0035555555555555557	0.6493333333333333
60	0.0035555555555555557	0.6513333333333333
61	0.00362962962962963	0.6513333333333333
62	0.00362962962962963	0.6533333333333333
63	0.003703703703703704	0.6533333333333333
64	0.003703703703703704	0.6553333333333333
65	0.003851851851851852	0.6553333333333333
66	0.003851851851851852	0.658
67	0.004074074074074074	0.658
68	0.004074074074074074	0.6586666666666666
69	0.004222222222222222	0.6586666666666666
70	0.004222222222222222	0.66
71	0.004296296296296296	0.66
72	0.004296296296296296	0.6606666666666666
73	0.004814814814814815	0.6606666666666666
74	0.004814814814814815	0.6613333333333333
75	0.004888888888888889	0.6613333333333333
76	0.004888888888888889	0.6633333333333333
77	0.005037037037037037	0.6633333333333333
78	0.005037037037037037	0.6646666666666666
79	0.005111111111111111	0.6646666666666666
80	0.005111111111111111	0.6653333333333333
81	0.005185185185185185	0.6653333333333333
82	0.005185185185185185	0.6673333333333333
83	0.005333333333333333	0.6673333333333333
84	0.005333333333333333	0.668
85	0.005703703703703704	0.668
86	0.005703703703703704	0.6686666666666666
87	0.0057777777777777775	0.6686666666666666
88	0.0057777777777777775	0.67
89	0.006	0.67
90	0.006	0.6713333333333333
91	0.006074074074074074	0.6713333333333333
92	0.006074074074074074	0.6726666666666666
93	0.006222222222222222	0.6726666666666666
94	0.006222222222222222	0.674
95	0.00637037037037037	0.674
96	0.00637037037037037	0.6746666666666666
97	0.006518518518518518	0.6746666666666666
98	0.006518518518518518	0.676
99	0.007037037037037037	0.676
100	0.007037037037037037	0.6773333333333333
101	0.007185185185185185	0.6773333333333333
102	0.007185185185185185	0.678
103	0.007481481481481481	0.678
104	0.007481481481481481	0.6786666666666666
105	0.007703703703703704	0.6786666666666666
106	0.007703703703703704	0.6793333333333333
107	0.0077777777777777776	0.6793333333333333
108	0.0077777777777777776	0.68
109	0.008	0.68
110	0.008	0.6813333333333333
111	0.008074074074074074	0.6813333333333333
112	0.008074074074074074	0.682
113	0.008148148148148147	0.682
114	0.008148148148148147	0.6826666666666666
115	0.008222222222222223	0.6826666666666666
116	0.008222222222222223	0.6833333333333333
117	0.008444444444444444	0.6833333333333333
118	0.008444444444444444	0.684
119	0.008518518518518519	0.684
120	0.008518518518518519	0.6846666666666666
121	0.008962962962962963	0.6846666666666666
122	0.008962962962962963	0.686
123	0.009037037037037038	0.686
124	0.009037037037037038	0.6866666666666666
