idx	Train_S	Test_S	All_S	Train_T	Test_T	All_T	Train_T_10	Test_T_10	All_T_10	Other1	Other2
1970	0.9834286	0.974	0.9806	0.978	0.976	0.9774	[1.0, 1.0, 0.99142855, 1.0, 1.0, 1.0, 0.99717516, 0.98550725, 0.94690263, 0.86263734]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9870968, 0.93167704, 0.8308824]	[1.0, 1.0, 0.994, 1.0, 1.0, 1.0, 0.998, 0.986, 0.942, 0.854]	1.3305159	0.043332458
1980	0.982	0.974	0.9796	0.97828573	0.9773333	0.978	[1.0, 1.0, 0.98571426, 1.0, 1.0, 1.0, 0.99717516, 0.9826087, 0.9616519, 0.8598901]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9806452, 0.9503106, 0.8308824]	[1.0, 1.0, 0.99, 1.0, 1.0, 1.0, 0.998, 0.982, 0.958, 0.852]	1.4023285	0.03953129
1990	0.98714286	0.98	0.985	0.97742856	0.97333336	0.9762	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9321534, 0.8543956]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9931507, 0.9935484, 0.91925466, 0.8161765]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.996, 0.994, 0.928, 0.844]	1.4587364	0.040187478
2000	0.98228574	0.97466666	0.98	0.9777143	0.976	0.9772	[1.0, 1.0, 0.99142855, 1.0, 1.0, 1.0, 0.99717516, 0.9652174, 0.9616519, 0.86538464]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9677419, 0.9503106, 0.8308824]	[1.0, 1.0, 0.994, 1.0, 1.0, 1.0, 0.998, 0.966, 0.958, 0.856]	1.421896	0.039000332
2010	0.9842857	0.97466666	0.9814	0.9797143	0.9773333	0.979	[1.0, 1.0, 0.99142855, 1.0, 1.0, 1.0, 0.99717516, 0.9826087, 0.96460176, 0.86538464]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9806452, 0.9503106, 0.8308824]	[1.0, 1.0, 0.994, 1.0, 1.0, 1.0, 0.998, 0.982, 0.96, 0.856]	1.3700733	0.03725159
2020	0.9877143	0.98066664	0.9856	0.9777143	0.972	0.976	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9380531, 0.85164833]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9931507, 0.9935484, 0.9068323, 0.8161765]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.996, 0.994, 0.928, 0.842]	1.4482231	0.039798677
2030	0.9854286	0.97866666	0.9834	0.9777143	0.97466666	0.9768	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9498525, 0.8434066]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.93167704, 0.8088235]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.994, 0.944, 0.834]	1.3339596	0.038814366
2040	0.98885715	0.984	0.9874	0.9728571	0.96533334	0.9706	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.88495576, 0.8543956]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8074534, 0.8455882]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.998, 0.996, 0.86, 0.852]	1.3689909	0.04504156
2050	0.98485714	0.97466666	0.9818	0.97571427	0.97333336	0.975	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9321534, 0.8379121]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.9130435, 0.8161765]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.998, 0.994, 0.926, 0.832]	1.3155518	0.032941043
2060	0.9794286	0.97533333	0.9782	0.972	0.9686667	0.971	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99717516, 0.9971014, 0.92330384, 0.8076923]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.88819873, 0.7867647]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.998, 0.998, 0.912, 0.802]	1.3188667	0.036463737
2070	0.98571426	0.9773333	0.9832	0.97742856	0.97533333	0.9768	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9439528, 0.8434066]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9254658, 0.8161765]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.998, 0.996, 0.938, 0.836]	1.2598648	0.035671055
2080	0.98714286	0.98466665	0.9864	0.96742857	0.9546667	0.9636	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.8318584, 0.85164833]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.7204969, 0.8455882]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.994, 0.796, 0.85]	1.3228769	0.04892832
2090	0.98885715	0.98466665	0.9876	0.97485715	0.96933335	0.9732	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.89675516, 0.86263734]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.85714287, 0.8308824]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.998, 0.996, 0.884, 0.854]	1.2640419	0.04043919
2100	0.9868571	0.97533333	0.9834	0.98	0.97866666	0.9796	[1.0, 1.0, 0.9942857, 1.0, 1.0, 1.0, 0.99717516, 0.98550725, 0.9557522, 0.8708791]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.94409937, 0.8382353]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.988, 0.952, 0.862]	1.2564201	0.031479478
2110	0.98	0.976	0.9788	0.9694286	0.9633333	0.9676	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 1.0, 0.89675516, 0.8076923]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8447205, 0.7794118]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 1.0, 0.88, 0.8]	1.1783104	0.03870833
2120	0.9868571	0.9766667	0.9838	0.9754286	0.976	0.9756	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9439528, 0.8269231]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9378882, 0.8088235]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.996, 0.942, 0.822]	1.1832733	0.034809947
2130	0.98142856	0.976	0.9798	0.97828573	0.9773333	0.978	[1.0, 1.0, 0.9942857, 1.0, 1.0, 1.0, 0.99717516, 0.9971014, 0.9734513, 0.8269231]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.95652175, 0.8088235]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.996, 0.998, 0.968, 0.822]	1.3588314	0.030940592
2140	0.98085713	0.976	0.9794	0.9722857	0.97066665	0.9718	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99717516, 0.9971014, 0.9262537, 0.8076923]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.9068323, 0.7941176]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.996, 0.998, 0.92, 0.804]	1.2639198	0.035654485
2150	0.99114287	0.9853333	0.9894	0.976	0.9633333	0.9722	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99717516, 0.99130434, 0.8761062, 0.8956044]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.77018636, 0.875]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.998, 0.992, 0.842, 0.89]	1.2499132	0.04460138
2160	0.98914284	0.9826667	0.9872	0.97257143	0.964	0.97	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.87905604, 0.85714287]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7950311, 0.8455882]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.998, 0.996, 0.852, 0.854]	1.190979	0.04402989
2170	0.9917143	0.97866666	0.9878	0.9802857	0.9773333	0.9794	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99717516, 0.9884058, 0.94690263, 0.87362635]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.9254658, 0.8455882]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.998, 0.99, 0.94, 0.866]	1.248003	0.030778527
2180	0.9917143	0.98333335	0.9892	0.978	0.9726667	0.9764	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9144543, 0.87637365]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.8757764, 0.85294116]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.998, 0.994, 0.902, 0.87]	1.1569557	0.036426187
2190	0.9917143	0.9826667	0.989	0.9794286	0.97466666	0.978	[1.0, 1.0, 0.9942857, 1.0, 1.0, 1.0, 0.99717516, 0.99130434, 0.9380531, 0.87637365]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.9068323, 0.8455882]	[1.0, 1.0, 0.994, 1.0, 1.0, 1.0, 0.998, 0.992, 0.928, 0.868]	1.2263737	0.04059875
2200	0.98742855	0.98066664	0.9854	0.97657144	0.974	0.9758	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.94100296, 0.8379121]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.9130435, 0.8235294]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.996, 0.996, 0.932, 0.834]	1.1982212	0.034208
2210	0.9825714	0.9773333	0.981	0.97885716	0.97866666	0.9788	[1.0, 1.0, 0.99142855, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.97640115, 0.83516484]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9627329, 0.8088235]	[1.0, 1.0, 0.994, 1.0, 1.0, 1.0, 0.998, 0.996, 0.972, 0.828]	1.1491089	0.028361738
2220	0.98971426	0.9813333	0.9872	0.974	0.96933335	0.9726	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.920354, 0.8324176]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.863354, 0.8235294]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.998, 0.996, 0.902, 0.83]	1.1716042	0.036794007
2230	0.98914284	0.97866666	0.986	0.97914284	0.9773333	0.9786	[1.0, 1.0, 0.9942857, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9734513, 0.8379121]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.94409937, 0.8161765]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.996, 0.964, 0.832]	1.1301212	0.029271543
2240	0.98971426	0.978	0.9862	0.9811429	0.97466666	0.9792	[1.0, 1.0, 0.9942857, 1.0, 1.0, 1.0, 0.99717516, 0.95652175, 0.96755165, 0.89835167]	[1.0, 1.0, 0.9866667, 1.0, 1.0, 1.0, 0.9931507, 0.9612903, 0.94409937, 0.85294116]	[1.0, 1.0, 0.992, 1.0, 1.0, 1.0, 0.996, 0.958, 0.96, 0.886]	1.183567	0.035408318
2250	0.98885715	0.98066664	0.9864	0.976	0.9726667	0.975	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9380531, 0.83516484]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.9068323, 0.8161765]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.996, 0.996, 0.928, 0.83]	1.1945419	0.032271862
2260	0.992	0.984	0.9896	0.97742856	0.9713333	0.9756	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9262537, 0.86263734]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8757764, 0.8308824]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.996, 0.91, 0.854]	1.1776962	0.036510706
2270	0.99142855	0.97866666	0.9876	0.98085713	0.98	0.9806	[1.0, 1.0, 0.99142855, 1.0, 1.0, 1.0, 0.99717516, 0.973913, 0.96460176, 0.88461536]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.94409937, 0.85294116]	[1.0, 1.0, 0.994, 1.0, 1.0, 1.0, 0.998, 0.98, 0.958, 0.876]	1.0309601	0.031811535
2280	0.9942857	0.982	0.9906	0.9817143	0.97866666	0.9808	[1.0, 1.0, 0.9942857, 1.0, 1.0, 1.0, 0.99717516, 0.9884058, 0.95280236, 0.88736266]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.9254658, 0.8602941]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.99, 0.944, 0.88]	1.1205969	0.032822132
2290	0.99314284	0.9813333	0.9896	0.98228574	0.9773333	0.9808	[1.0, 1.0, 0.9942857, 1.0, 1.0, 1.0, 0.99717516, 0.9884058, 0.96460176, 0.8818681]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.9378882, 0.8308824]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.99, 0.956, 0.868]	1.1450348	0.029626489
2300	0.9925714	0.982	0.9894	0.98085713	0.9773333	0.9798	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.96755165, 0.85714287]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.94409937, 0.8235294]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.994, 0.96, 0.848]	1.1074371	0.028767467
2310	0.9951429	0.98733336	0.9928	0.9794286	0.972	0.9772	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.98550725, 0.9144543, 0.9010989]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9931507, 0.9935484, 0.863354, 0.86764705]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.996, 0.988, 0.898, 0.892]	1.099371	0.038189292
2320	0.99285716	0.97933334	0.9888	0.9817143	0.9773333	0.9804	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99717516, 0.98550725, 0.96460176, 0.87362635]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9931507, 0.9935484, 0.93167704, 0.8455882]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.996, 0.988, 0.954, 0.866]	1.0783634	0.024438858
2330	0.98885715	0.98	0.9862	0.978	0.9726667	0.9764	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9380531, 0.85714287]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9006211, 0.8161765]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.996, 0.926, 0.846]	1.0811539	0.030753732
2340	0.99285716	0.9826667	0.9898	0.98228574	0.97933334	0.9814	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9884058, 0.9616519, 0.8818681]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9378882, 0.8455882]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.992, 0.954, 0.872]	1.040575	0.027001798
2350	0.9937143	0.98933333	0.9924	0.976	0.96533334	0.9728	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.8938053, 0.8791209]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.80124223, 0.8602941]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.994, 0.864, 0.874]	1.0865402	0.041978538
2360	0.9942857	0.986	0.9918	0.9797143	0.9726667	0.9776	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9710145, 0.9144543, 0.9175824]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.8509317, 0.8897059]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.978, 0.894, 0.91]	1.0525331	0.039452612
2370	0.99314284	0.98	0.9892	0.982	0.9773333	0.9806	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.973913, 0.96460176, 0.8901099]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.98630136, 0.9935484, 0.93167704, 0.85294116]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.994, 0.98, 0.954, 0.88]	1.088316	0.02770418
2380	0.988	0.9813333	0.986	0.97657144	0.9726667	0.9754	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9971014, 0.9380531, 0.8406593]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9006211, 0.8161765]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.998, 0.926, 0.834]	1.0158005	0.030946195
2390	0.99142855	0.98066664	0.9882	0.9802857	0.97866666	0.9798	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9616519, 0.85714287]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9503106, 0.8235294]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.996, 0.958, 0.848]	1.0042477	0.025240004
2400	0.9925714	0.98333335	0.9898	0.9802857	0.978	0.9796	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9557522, 0.86263734]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9254658, 0.8455882]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.996, 0.946, 0.858]	1.1419888	0.029028237
2410	0.9882857	0.97933334	0.9856	0.9785714	0.9766667	0.978	[1.0, 1.0, 0.9942857, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.96460176, 0.8406593]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.94409937, 0.8161765]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.996, 0.996, 0.958, 0.834]	1.0763702	0.028383076
2420	0.9957143	0.988	0.9934	0.9771429	0.97066665	0.9752	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9478261, 0.9144543, 0.91483516]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9741936, 0.8509317, 0.88235295]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.956, 0.894, 0.906]	1.0803032	0.036658525
2430	0.99542856	0.9853333	0.9924	0.97828573	0.97	0.9758	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99717516, 0.9826087, 0.90855455, 0.8956044]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9931507, 0.9935484, 0.8447205, 0.86764705]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.996, 0.986, 0.888, 0.888]	1.0375481	0.032672822
2440	0.9942857	0.98333335	0.991	0.9811429	0.978	0.9802	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9826087, 0.9498525, 0.88736266]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.91925466, 0.85294116]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.988, 0.94, 0.878]	1.0725842	0.02543962
2450	0.99542856	0.982	0.9914	0.9817143	0.978	0.9806	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.97971016, 0.9587021, 0.88736266]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.91925466, 0.8602941]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.984, 0.946, 0.88]	1.0076771	0.024819613
2460	0.99285716	0.9853333	0.9906	0.97885716	0.97866666	0.9788	[1.0, 1.0, 0.9942857, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9439528, 0.86263734]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9254658, 0.85294116]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.996, 0.938, 0.86]	1.064888	0.03342259
2470	0.9957143	0.9853333	0.9926	0.9811429	0.9773333	0.98	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.99130434, 0.94100296, 0.88736266]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.9130435, 0.8602941]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.996, 0.994, 0.932, 0.88]	1.0202732	0.029503405
2480	0.9882857	0.9773333	0.985	0.98142856	0.97866666	0.9806	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9884058, 0.9734513, 0.86263734]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9931507, 0.9935484, 0.9627329, 0.8235294]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.996, 0.99, 0.97, 0.852]	1.0169544	0.022083461
2490	0.994	0.98466665	0.9912	0.97742856	0.972	0.9758	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9174041, 0.8708791]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8757764, 0.8382353]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.996, 0.904, 0.862]	1.0069618	0.030452609
2500	0.99057144	0.9773333	0.9866	0.9817143	0.98	0.9812	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.97971016, 0.97935104, 0.8681319]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9931507, 0.9935484, 0.9751553, 0.8235294]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.996, 0.984, 0.978, 0.856]	0.9880028	0.018999577
2510	0.98885715	0.9766667	0.9852	0.982	0.98066664	0.9816	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.97971016, 0.9823009, 0.8681319]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.9751553, 0.8235294]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.984, 0.98, 0.856]	0.98843	0.018909097
2520	0.99	0.98066664	0.9872	0.97742856	0.97533333	0.9768	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.94100296, 0.8489011]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9068323, 0.8382353]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.996, 0.93, 0.846]	1.0098152	0.02577734
2530	0.98657143	0.9766667	0.9836	0.98142856	0.98066664	0.9812	[1.0, 1.0, 0.9942857, 1.0, 1.0, 1.0, 0.99717516, 0.97971016, 0.9882006, 0.8598901]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.98136646, 0.8235294]	[1.0, 1.0, 0.994, 1.0, 1.0, 1.0, 0.998, 0.984, 0.986, 0.85]	0.97491074	0.019471228
2540	0.994	0.982	0.9904	0.97742856	0.9726667	0.976	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.942029, 0.9262537, 0.9120879]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 0.9612903, 0.8757764, 0.89705884]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.948, 0.91, 0.908]	1.0151634	0.035651326
2550	0.9942857	0.98866665	0.9926	0.9777143	0.97333336	0.9764	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.920354, 0.8708791]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8757764, 0.85294116]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.996, 0.906, 0.866]	1.0151463	0.029592097
2560	0.99314284	0.98466665	0.9906	0.9768571	0.968	0.9742	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9026549, 0.8791209]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8136646, 0.86764705]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.996, 0.874, 0.876]	1.0215893	0.033593595
2570	0.9951429	0.9813333	0.991	0.98285717	0.98066664	0.9822	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9768116, 0.96755165, 0.89285713]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9931507, 0.9935484, 0.94409937, 0.86764705]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.996, 0.982, 0.96, 0.886]	0.8980427	0.021690965
2580	0.99314284	0.97933334	0.989	0.9825714	0.982	0.9824	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.97971016, 0.9734513, 0.8818681]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.9689441, 0.8455882]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.984, 0.972, 0.872]	0.99144745	0.019372642
2590	0.99457145	0.98466665	0.9916	0.98142856	0.9813333	0.9814	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.99130434, 0.9587021, 0.87362635]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.94409937, 0.8602941]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.994, 0.954, 0.87]	1.0292702	0.021440923
2600	0.9902857	0.97866666	0.9868	0.98085713	0.97933334	0.9804	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9734513, 0.85164833]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9503106, 0.8308824]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.996, 0.966, 0.846]	0.9772072	0.020237029
