idx	Train_S	Test_S	All_S	Train_T	Test_T	All_T	Train_T_10	Test_T_10	All_T_10	Other1	Other2
1470	0.97828573	0.97	0.9758	0.786	0.798	0.7896	[1.0, 1.0, 0.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.8377581, 0.057692308]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.82608694, 0.080882356]	[1.0, 1.0, 0.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.834, 0.064]	0.012461629	0.00026352983
1480	0.97342855	0.96066666	0.9696	0.79571426	0.80733335	0.7992	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.99435025, 1.0, 0.71681416, 0.26648352]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.70186335, 0.33088234]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.996, 1.0, 0.712, 0.284]	0.012566842	0.00026529655
1490	0.97885716	0.97333336	0.9772	0.7854286	0.79333335	0.7878	[1.0, 1.0, 0.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.87905604, 0.013736264]	[1.0, 1.0, 0.0, 1.0, 0.97333336, 1.0, 1.0, 1.0, 0.863354, 0.014705882]	[1.0, 1.0, 0.0, 1.0, 0.99, 1.0, 1.0, 1.0, 0.874, 0.014]	0.012508821	0.00027515693
1500	0.9711428	0.9626667	0.9686	0.78085715	0.78933334	0.7834	[1.0, 1.0, 0.0, 1.0, 0.9942857, 1.0, 1.0, 1.0, 0.8495575, 0.0]	[1.0, 1.0, 0.0, 1.0, 0.96666664, 1.0, 1.0, 1.0, 0.8447205, 0.0]	[1.0, 1.0, 0.0, 1.0, 0.986, 1.0, 1.0, 1.0, 0.848, 0.0]	2.5315402	0.0031318972
1510	0.98228574	0.97466666	0.98	0.82028574	0.824	0.8214	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.99717516, 1.0, 0.89675516, 0.33241758]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.89440995, 0.2867647]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 1.0, 0.896, 0.32]	7.107029	0.06927326
1520	0.9777143	0.97	0.9754	0.7885714	0.7966667	0.791	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8879056, 0.032967035]	[1.0, 1.0, 0.0, 1.0, 0.9866667, 1.0, 1.0, 1.0, 0.8819876, 0.014705882]	[1.0, 1.0, 0.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.886, 0.028]	6.901345	0.10650729
1530	0.9671429	0.96666664	0.967	0.8382857	0.8426667	0.8396	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.89675516, 0.50274724]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.9935484, 0.88819873, 0.50735295]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.998, 0.894, 0.504]	6.9579506	0.12103569
1540	0.97	0.9586667	0.9666	0.8191429	0.82266665	0.8202	[1.0, 1.0, 0.0028571428, 1.0, 1.0, 1.0, 0.98870057, 1.0, 0.6961652, 0.51373625]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.67701864, 0.5294118]	[1.0, 1.0, 0.002, 1.0, 1.0, 1.0, 0.992, 1.0, 0.69, 0.518]	5.686939	0.12767299
1550	0.9737143	0.96466666	0.971	0.85057145	0.8473333	0.8496	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7817109, 0.728022]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7515528, 0.7132353]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.772, 0.724]	5.7084794	0.12937921
1560	0.9742857	0.96666664	0.972	0.82285714	0.822	0.8226	[1.0, 1.0, 0.045714285, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8082596, 0.39285713]	[1.0, 1.0, 0.02, 1.0, 1.0, 1.0, 1.0, 1.0, 0.78881985, 0.36764705]	[1.0, 1.0, 0.038, 1.0, 1.0, 1.0, 1.0, 1.0, 0.802, 0.386]	5.304371	0.13808137
